x,y,huevos_predichos,categoria
225310.69057034393,2312478.1608498963,33.649471481828336,MEDIO
225560.69057034393,2312478.1608498963,31.890672709066305,MEDIO
226810.69057034393,2312478.1608498963,28.368010943220817,MEDIO
227060.69057034393,2312478.1608498963,30.19219619236139,MEDIO
227310.69057034393,2312478.1608498963,31.329337181899902,MEDIO
227560.69057034393,2312478.1608498963,27.52975117106154,MEDIO
227810.69057034393,2312478.1608498963,30.358394565201344,MEDIO
228060.69057034393,2312478.1608498963,31.198080970857752,MEDIO
228310.69057034393,2312478.1608498963,31.651624924881368,MEDIO
229810.69057034393,2312478.1608498963,36.32249939284899,ALTO
221810.69057034393,2312728.1608498963,46.46069231428928,MUY ALTO
222060.69057034393,2312728.1608498963,46.62050551158031,MUY ALTO
222310.69057034393,2312728.1608498963,46.24904609918356,MUY ALTO
222560.69057034393,2312728.1608498963,45.98502610758212,MUY ALTO
222810.69057034393,2312728.1608498963,46.47511032731559,MUY ALTO
223060.69057034393,2312728.1608498963,47.782038397939274,MUY ALTO
223310.69057034393,2312728.1608498963,52.58040860291696,MUY ALTO
223560.69057034393,2312728.1608498963,62.18142748998792,MUY ALTO
223810.69057034393,2312728.1608498963,58.15580393277885,MUY ALTO
224060.69057034393,2312728.1608498963,44.811378442019674,MUY ALTO
224310.69057034393,2312728.1608498963,44.09784049504031,MUY ALTO
224560.69057034393,2312728.1608498963,44.154506407684224,MUY ALTO
224810.69057034393,2312728.1608498963,39.41945665912003,ALTO
225060.69057034393,2312728.1608498963,35.675852389539614,ALTO
225310.69057034393,2312728.1608498963,33.30996561062163,MEDIO
225560.69057034393,2312728.1608498963,31.69813198474198,MEDIO
225810.69057034393,2312728.1608498963,30.813157731953975,MEDIO
226810.69057034393,2312728.1608498963,26.155752967097317,BAJO
227060.69057034393,2312728.1608498963,18.726180531417583,MUY BAJO
227310.69057034393,2312728.1608498963,28.836602667219733,MEDIO
227560.69057034393,2312728.1608498963,28.843029850762374,MEDIO
227810.69057034393,2312728.1608498963,30.966172952635336,MEDIO
228060.69057034393,2312728.1608498963,31.59224149106474,MEDIO
228810.69057034393,2312728.1608498963,32.02330202006239,MEDIO
229060.69057034393,2312728.1608498963,32.84489464233479,MEDIO
229310.69057034393,2312728.1608498963,33.34761732394567,MEDIO
229560.69057034393,2312728.1608498963,34.465360099351116,MEDIO
229810.69057034393,2312728.1608498963,35.06987910777356,ALTO
230060.69057034393,2312728.1608498963,36.708418879707445,ALTO
221560.69057034393,2312978.1608498963,46.66066615261213,MUY ALTO
221810.69057034393,2312978.1608498963,46.53881340411375,MUY ALTO
222060.69057034393,2312978.1608498963,46.438446982305955,MUY ALTO
222310.69057034393,2312978.1608498963,45.786781923319005,MUY ALTO
222560.69057034393,2312978.1608498963,45.170852671626406,MUY ALTO
222810.69057034393,2312978.1608498963,45.3614455397339,MUY ALTO
223060.69057034393,2312978.1608498963,46.630345731136494,MUY ALTO
223310.69057034393,2312978.1608498963,52.011340029999694,MUY ALTO
223560.69057034393,2312978.1608498963,67.98278069062827,MUY ALTO
223810.69057034393,2312978.1608498963,47.33904287214187,MUY ALTO
224060.69057034393,2312978.1608498963,36.106639828379464,ALTO
224310.69057034393,2312978.1608498963,48.95992142427325,MUY ALTO
224560.69057034393,2312978.1608498963,56.78252867767451,MUY ALTO
224810.69057034393,2312978.1608498963,40.23825268702082,ALTO
225060.69057034393,2312978.1608498963,35.49525948945777,ALTO
225310.69057034393,2312978.1608498963,32.7960698452944,MEDIO
225560.69057034393,2312978.1608498963,31.27451827111029,MEDIO
226810.69057034393,2312978.1608498963,31.698162632551814,MEDIO
227060.69057034393,2312978.1608498963,39.568086325812075,ALTO
227310.69057034393,2312978.1608498963,33.110265932250584,MEDIO
227560.69057034393,2312978.1608498963,31.168786433283675,MEDIO
227810.69057034393,2312978.1608498963,32.14033828346571,MEDIO
228060.69057034393,2312978.1608498963,32.19470422745949,MEDIO
229310.69057034393,2312978.1608498963,32.90542033346473,MEDIO
229560.69057034393,2312978.1608498963,33.400508656580556,MEDIO
221810.69057034393,2313228.1608498963,46.82333050151262,MUY ALTO
222310.69057034393,2313228.1608498963,45.221776144167464,MUY ALTO
222560.69057034393,2313228.1608498963,44.469088020776816,MUY ALTO
222810.69057034393,2313228.1608498963,44.04644079590118,MUY ALTO
223310.69057034393,2313228.1608498963,46.66097689669048,MUY ALTO
223560.69057034393,2313228.1608498963,49.191828015232076,MUY ALTO
223810.69057034393,2313228.1608498963,47.744299450855564,MUY ALTO
224060.69057034393,2313228.1608498963,46.22281274764985,MUY ALTO
224310.69057034393,2313228.1608498963,43.754513756928176,MUY ALTO
224560.69057034393,2313228.1608498963,42.92608992379557,MUY ALTO
224810.69057034393,2313228.1608498963,38.28117028892941,ALTO
225060.69057034393,2313228.1608498963,34.38321301192133,MEDIO
225310.69057034393,2313228.1608498963,31.887919552243126,MEDIO
225560.69057034393,2313228.1608498963,30.349114014211377,MEDIO
226810.69057034393,2313228.1608498963,32.13807507254668,MEDIO
227060.69057034393,2313228.1608498963,38.038637564269386,ALTO
227310.69057034393,2313228.1608498963,32.111764960511266,MEDIO
227560.69057034393,2313228.1608498963,36.81452172758055,ALTO
227810.69057034393,2313228.1608498963,32.62466028782311,MEDIO
229060.69057034393,2313228.1608498963,31.773945082129618,MEDIO
